qmof_id,Stability,StabilityScore
qmof-150e43b.cif,The solvent removal stability prediction is: 0.8. Fairly confident the MOF is stable upon solvent removal.,0.8
qmof-7dfff4f.cif,"The solvent removal stability prediction is: 0.6. Uncertain, but predict the MOF is stable upon solvent removal.",0.6
qmof-2b10e5e.cif,The solvent removal stability prediction is: 0.86. Very confident the MOF is stable upon solvent removal.,0.86
qmof-91af4b8.cif,The solvent removal stability prediction is: 0.33. Fairly confident the MOF is unstable upon solvent removal.,0.33
qmof-0a37810.cif,The solvent removal stability prediction is: 0.34. Fairly confident the MOF is unstable upon solvent removal.,0.34
qmof-ef59642.cif,Failed,0.0
qmof-ee232e2.cif,The solvent removal stability prediction is: 0.01. Very confident the MOF is unstable upon solvent removal.,0.01
qmof-1ad2593.cif,The solvent removal stability prediction is: 0.8. Fairly confident the MOF is stable upon solvent removal.,0.8
qmof-bd7e00b.cif,"The solvent removal stability prediction is: 0.51. Uncertain, but predict the MOF is stable upon solvent removal.",0.51
qmof-cfc7cec.cif,The solvent removal stability prediction is: 0.68. Fairly confident the MOF is stable upon solvent removal.,0.68
qmof-7503641.cif,The solvent removal stability prediction is: 0.22. Fairly confident the MOF is unstable upon solvent removal.,0.22
qmof-cc26de1.cif,The solvent removal stability prediction is: 0.35. Fairly confident the MOF is unstable upon solvent removal.,0.35
qmof-c2f7da3.cif,The solvent removal stability prediction is: 0.76. Fairly confident the MOF is stable upon solvent removal.,0.76
qmof-9ab4e0a.cif,The solvent removal stability prediction is: 0.7. Fairly confident the MOF is stable upon solvent removal.,0.7
qmof-eb442dd.cif,The solvent removal stability prediction is: 0.76. Fairly confident the MOF is stable upon solvent removal.,0.76
qmof-86bee7f.cif,The solvent removal stability prediction is: 0.06. Very confident the MOF is unstable upon solvent removal.,0.06
qmof-0475987.cif,The solvent removal stability prediction is: 0.7. Fairly confident the MOF is stable upon solvent removal.,0.7
qmof-3e2b99e.cif,The solvent removal stability prediction is: 0.8. Fairly confident the MOF is stable upon solvent removal.,0.8
qmof-1e81b2d.cif,The solvent removal stability prediction is: 0.94. Very confident the MOF is stable upon solvent removal.,0.94
qmof-e5b19b5.cif,The solvent removal stability prediction is: 0.62. Fairly confident the MOF is stable upon solvent removal.,0.62
qmof-4db285d.cif,The solvent removal stability prediction is: 0.4. Fairly confident the MOF is unstable upon solvent removal.,0.4
qmof-2531f43.cif,The solvent removal stability prediction is: 0.66. Fairly confident the MOF is stable upon solvent removal.,0.66
qmof-54d276d.cif,The solvent removal stability prediction is: 0.75. Fairly confident the MOF is stable upon solvent removal.,0.75
qmof-d3eb92f.cif,The solvent removal stability prediction is: 0.64. Fairly confident the MOF is stable upon solvent removal.,0.64
qmof-b7e9d20.cif,The solvent removal stability prediction is: 0.85. Very confident the MOF is stable upon solvent removal.,0.85
qmof-b9fbd8b.cif,"The solvent removal stability prediction is: 0.5. Uncertain, but predict the MOF is unstable upon solvent removal.",0.5
qmof-a7d6d40.cif,The solvent removal stability prediction is: 0.73. Fairly confident the MOF is stable upon solvent removal.,0.73
qmof-f48c59c.cif,The solvent removal stability prediction is: 0.87. Very confident the MOF is stable upon solvent removal.,0.87
qmof-aca00b3.cif,"The solvent removal stability prediction is: 0.43. Uncertain, but predict the MOF is unstable upon solvent removal.",0.43
qmof-46a169e.cif,Failed,0.0
qmof-cd9dd93.cif,The solvent removal stability prediction is: 0.38. Fairly confident the MOF is unstable upon solvent removal.,0.38
qmof-a0b0c6b.cif,Failed,0.0
qmof-35e0b44.cif,The solvent removal stability prediction is: 0.65. Fairly confident the MOF is stable upon solvent removal.,0.65
qmof-525ab7b.cif,The solvent removal stability prediction is: 0.63. Fairly confident the MOF is stable upon solvent removal.,0.63
qmof-a9bd3f7.cif,The solvent removal stability prediction is loading...,
qmof-0e4bbc6.cif,Failed,0.0
qmof-d292655.cif,The solvent removal stability prediction is: 0.64. Fairly confident the MOF is stable upon solvent removal.,0.64
qmof-1ed0c50.cif,The solvent removal stability prediction is: 0.89. Very confident the MOF is stable upon solvent removal.,0.89
qmof-53dfad5.cif,The solvent removal stability prediction is: 0.76. Fairly confident the MOF is stable upon solvent removal.,0.76
qmof-f2c9734.cif,The solvent removal stability prediction is: 0.86. Very confident the MOF is stable upon solvent removal.,0.86
qmof-dc70a04.cif,The solvent removal stability prediction is: 0.11. Very confident the MOF is unstable upon solvent removal.,0.11
qmof-4aba306.cif,The solvent removal stability prediction is: 0.86. Very confident the MOF is stable upon solvent removal.,0.86
qmof-594c034.cif,The solvent removal stability prediction is: 0.68. Fairly confident the MOF is stable upon solvent removal.,0.68
qmof-cd9a14c.cif,The solvent removal stability prediction is: 0.89. Very confident the MOF is stable upon solvent removal.,0.89
qmof-6bab288.cif,The solvent removal stability prediction is: 0.82. Very confident the MOF is stable upon solvent removal.,0.82
qmof-449a0d1.cif,The solvent removal stability prediction is: 0.93. Very confident the MOF is stable upon solvent removal.,0.93
qmof-6ebfed4.cif,The solvent removal stability prediction is: 0.69. Fairly confident the MOF is stable upon solvent removal.,0.69
qmof-819df1b.cif,The solvent removal stability prediction is: 0.73. Fairly confident the MOF is stable upon solvent removal.,0.73
qmof-2cc02cf.cif,The solvent removal stability prediction is: 0.04. Very confident the MOF is unstable upon solvent removal.,0.04
qmof-bafdee9.cif,The solvent removal stability prediction is: 0.83. Very confident the MOF is stable upon solvent removal.,0.83
qmof-91b0193.cif,The solvent removal stability prediction is: 0.72. Fairly confident the MOF is stable upon solvent removal.,0.72
qmof-3fe24b2.cif,"The solvent removal stability prediction is: 0.45. Uncertain, but predict the MOF is unstable upon solvent removal.",0.45
qmof-2e8198f.cif,The solvent removal stability prediction is: 0.63. Fairly confident the MOF is stable upon solvent removal.,0.63
qmof-cbf3b98.cif,The solvent removal stability prediction is: 0.35. Fairly confident the MOF is unstable upon solvent removal.,0.35
qmof-ca1b84d.cif,"The solvent removal stability prediction is: 0.48. Uncertain, but predict the MOF is unstable upon solvent removal.",0.48
qmof-5108c60.cif,The solvent removal stability prediction is: 0.73. Fairly confident the MOF is stable upon solvent removal.,0.73
qmof-260d2c2.cif,The solvent removal stability prediction is: 0.03. Very confident the MOF is unstable upon solvent removal.,0.03
qmof-0918da7.cif,The solvent removal stability prediction is: 0.97. Very confident the MOF is stable upon solvent removal.,0.97
qmof-eca5ae4.cif,The solvent removal stability prediction is: 0.93. Very confident the MOF is stable upon solvent removal.,0.93
qmof-7cb0c4e.cif,The solvent removal stability prediction is: 0.75. Fairly confident the MOF is stable upon solvent removal.,0.75
qmof-13f8e19.cif,The solvent removal stability prediction is: 0.78. Fairly confident the MOF is stable upon solvent removal.,0.78
qmof-7c00823.cif,"The solvent removal stability prediction is: 0.56. Uncertain, but predict the MOF is stable upon solvent removal.",0.56
qmof-bbbed4f.cif,The solvent removal stability prediction is: 0.7. Fairly confident the MOF is stable upon solvent removal.,0.7
qmof-0a464a7.cif,The solvent removal stability prediction is: 0.71. Fairly confident the MOF is stable upon solvent removal.,0.71
qmof-502b122.cif,"The solvent removal stability prediction is: 0.55. Uncertain, but predict the MOF is stable upon solvent removal.",0.55
qmof-5fcd937.cif,The solvent removal stability prediction is: 0.06. Very confident the MOF is unstable upon solvent removal.,0.06
qmof-1c25053.cif,The solvent removal stability prediction is: 0.72. Fairly confident the MOF is stable upon solvent removal.,0.72
qmof-dd8f509.cif,"The solvent removal stability prediction is: 0.46. Uncertain, but predict the MOF is unstable upon solvent removal.",0.46
qmof-beed51c.cif,"The solvent removal stability prediction is: 0.46. Uncertain, but predict the MOF is unstable upon solvent removal.",0.46
qmof-7b4aac2.cif,The solvent removal stability prediction is: 0.36. Fairly confident the MOF is unstable upon solvent removal.,0.36
qmof-fdeb493.cif,The solvent removal stability prediction is: 0.97. Very confident the MOF is stable upon solvent removal.,0.97
qmof-d8e78b2.cif,The solvent removal stability prediction is: 0.14. Very confident the MOF is unstable upon solvent removal.,0.14
qmof-25d399e.cif,The solvent removal stability prediction is: 0.94. Very confident the MOF is stable upon solvent removal.,0.94
qmof-8aba187.cif,The solvent removal stability prediction is: 0.08. Very confident the MOF is unstable upon solvent removal.,0.08
qmof-40d903d.cif,The solvent removal stability prediction is: 0.03. Very confident the MOF is unstable upon solvent removal.,0.03
qmof-c921899.cif,The solvent removal stability prediction is: 0.7. Fairly confident the MOF is stable upon solvent removal.,0.7
qmof-ee62841.cif,The solvent removal stability prediction is: 0.75. Fairly confident the MOF is stable upon solvent removal.,0.75
qmof-2a66433.cif,The solvent removal stability prediction is: 0.06. Very confident the MOF is unstable upon solvent removal.,0.06
qmof-02f3753.cif,The solvent removal stability prediction is: 0.84. Very confident the MOF is stable upon solvent removal.,0.84
qmof-09f0270.cif,"The solvent removal stability prediction is: 0.53. Uncertain, but predict the MOF is stable upon solvent removal.",0.53
qmof-56dbe2b.cif,The solvent removal stability prediction is: 0.68. Fairly confident the MOF is stable upon solvent removal.,0.68
qmof-1c69162.cif,The solvent removal stability prediction is: 0.39. Fairly confident the MOF is unstable upon solvent removal.,0.39
qmof-075218d.cif,The solvent removal stability prediction is: 0.8. Fairly confident the MOF is stable upon solvent removal.,0.8
qmof-2e2337f.cif,The solvent removal stability prediction is: 0.8. Fairly confident the MOF is stable upon solvent removal.,0.8
qmof-00eae24.cif,The solvent removal stability prediction is: 0.61. Fairly confident the MOF is stable upon solvent removal.,0.61
qmof-5bd2003.cif,The solvent removal stability prediction is: 0.74. Fairly confident the MOF is stable upon solvent removal.,0.74
qmof-559f6f4.cif,The solvent removal stability prediction is: 0.01. Very confident the MOF is unstable upon solvent removal.,0.01
qmof-7e0c32f.cif,The solvent removal stability prediction is: 0.82. Very confident the MOF is stable upon solvent removal.,0.82
qmof-5a2471d.cif,The solvent removal stability prediction is: 0.93. Very confident the MOF is stable upon solvent removal.,0.93
qmof-dd6dc81.cif,The solvent removal stability prediction is: 0.23. Fairly confident the MOF is unstable upon solvent removal.,0.23
qmof-2b284cb.cif,The solvent removal stability prediction is: 0.12. Very confident the MOF is unstable upon solvent removal.,0.12
qmof-bdbf083.cif,The solvent removal stability prediction is: 0.06. Very confident the MOF is unstable upon solvent removal.,0.06
qmof-8c4b003.cif,The solvent removal stability prediction is: 0.36. Fairly confident the MOF is unstable upon solvent removal.,0.36
qmof-d9daa8e.cif,The solvent removal stability prediction is: 0.05. Very confident the MOF is unstable upon solvent removal.,0.05
qmof-1013282.cif,The solvent removal stability prediction is: 0.68. Fairly confident the MOF is stable upon solvent removal.,0.68
qmof-886ee84.cif,Failed,0.0
qmof-5d740ae.cif,The solvent removal stability prediction is: 0.81. Very confident the MOF is stable upon solvent removal.,0.81
qmof-7f5ffb4.cif,"The solvent removal stability prediction is: 0.43. Uncertain, but predict the MOF is unstable upon solvent removal.",0.43
qmof-c906a20.cif,"The solvent removal stability prediction is: 0.59. Uncertain, but predict the MOF is stable upon solvent removal.",0.59
qmof-f3823e0.cif,"The solvent removal stability prediction is: 0.49. Uncertain, but predict the MOF is unstable upon solvent removal.",0.49
