core,shell,,,,,,,,,
mp-680722,qmof-4aba306,,,,,,,,,
mp-31107,qmof-5108c60,,,,,,,,,
mp-1095378,qmof-2531f43,,,,,,,,,
mp-23569,qmof-91b0193,,,,,,,,,
mp-30003,qmof-c2f7da3,,,,,,,,,
mp-1190864,qmof-5a2471d,,,,,,,,,
mp-23084,qmof-3b48e5d,,,,,,,,,
mp-15511,qmof-60626cd,,,,,,,,,
mp-7128,qmof-2c7948e,,,,,,,,,
mp-28855,qmof-6032da7,,,,,,,,,
mp-561561,qmof-a40de84,,,,,,,,,
mp-1079364,qmof-95ce74c,,,,,,,,,
mp-542115,qmof-99d7983,,,,,,,,,
mp-31232,qmof-417c826,,,,,,,,,
mp-1091363,qmof-3eec122,,,,,,,,,
mp-558910,qmof-b1e5ed5,,,,,,,,,
mp-14037,qmof-096bf27,,,,,,,,,
mp-29698,qmof-97f5f79,,,,,,,,,
mp-1095283,qmof-aa8159f,,,,,,,,,
mp-20805,qmof-f0c1c90,,,,,,,,,
mp-16834,qmof-55ae928,,,,,,,,,
mp-556120,qmof-03dce70,,,,,,,,,
mp-20727,qmof-58a8f42,,,,,,,,,
mp-14368,qmof-26670ca,,,,,,,,,
mp-1819,qmof-05cc789,,,,,,,,,
mp-22467,qmof-a5a3523,,,,,,,,,
mp-15750,qmof-8333f8b,,,,,,,,,
mp-554435,qmof-aa12b02,,,,,,,,,
mp-1105700,qmof-ee8825a,,,,,,,,,
mp-680219,qmof-b7fb8de,,,,,,,,,
mp-17637,qmof-8f5113c,,,,,,,,,
mp-23446,qmof-31585f8,,,,,,,,,
mp-17677,qmof-a0717aa,,,,,,,,,
mp-230,qmof-5382407,,,,,,,,,
mp-31069,qmof-4e43b18,,,,,,,,,
mp-624234,qmof-2bf3de2,,,,,,,,,
mp-10798,qmof-e2af422,,,,,,,,,
mp-7094,qmof-47c6a17,,,,,,,,,
mp-20015,qmof-f124941,,,,,,,,,
mp-14367,qmof-1f7477f,,,,,,,,,
mp-541114,qmof-f203c62,,,,,,,,,
mp-28299,qmof-0f178f1,,,,,,,,,
mp-562338,qmof-c1553ca,,,,,,,,,
mp-554944,qmof-e2ef939,,,,,,,,,
mp-29193,qmof-08021a9,,,,,,,,,
mp-3414,qmof-f0e967a,,,,,,,,,
mp-542001,qmof-e647ae3,,,,,,,,,
mp-28845,qmof-961be1d,,,,,,,,,
mp-561423,qmof-59219a7,,,,,,,,,
mp-14276,qmof-8b9a87d,,,,,,,,,
mp-29590,qmof-c4cc8a9,,,,,,,,,
mp-556442,qmof-bf9ccaf,,,,,,,,,
mp-27980,qmof-1cc623d,,,,,,,,,
,qmof-314b14f,,,,,,,,,
,qmof-7269376,,,,,,,,,
,qmof-db61142,,,,,,,,,
,qmof-1749614,,,,,,,,,
,qmof-7d5de5b,,,,,,,,,
,qmof-ef011df,,,,,,,,,
,qmof-4d0c1e9,,,,,,,,,
,qmof-aaa921d,,,,,,,,,
,qmof-277fc99,,,,,,,,,
,qmof-8169402,,,,,,,,,
,qmof-dbdc93d,,,,,,,,,
,qmof-e6adc28,,,,,,,,,
,qmof-ed987cc,,,,,,,,,
,qmof-68e1336,,,,,,,,,
,qmof-17e43c6,,,,,,,,,
,qmof-ba7bac6,,,,,,,,,
,qmof-7c0089b,,,,,,,,,
,qmof-0180057,,,,,,,,,
,qmof-bec2181,,,,,,,,,
,qmof-8ec55e0,,,,,,,,,
,qmof-55b32f8,,,,,,,,,
,qmof-b80a30e,,,,,,,,,
,qmof-648d493,,,,,,,,,
,qmof-e99de19,,,,,,,,,
,qmof-5ce2533,,,,,,,,,
,qmof-62058f7,,,,,,,,,
,qmof-625c1df,,,,,,,,,
,qmof-5b20bb3,,,,,,,,,
,qmof-d77d3f0,,,,,,,,,
,qmof-523c57d,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,